,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Puerto Ayora,47,EC,1570075584,93,-0.74,-90.35,66.99,11.61
1,Puerto Escondido,38,MX,1570075584,85,15.86,-97.07,74.97,3.31
2,Ushuaia,40,AR,1570075585,65,-54.81,-68.31,41.0,29.97
3,Vaini,40,IN,1570075586,83,15.34,74.49,75.2,0.65
4,Saint-Francois,0,FR,1570075588,100,46.42,3.91,41.0,2.01
5,Busselton,100,AU,1570075589,71,-33.64,115.35,70.0,3.0
6,Napier,100,NZ,1570075590,63,-39.49,176.92,53.01,8.01
7,Mahebourg,75,MU,1570075591,94,-20.41,57.7,73.99,8.05
8,Kapaa,40,US,1570075592,74,22.08,-159.32,86.0,17.22
9,Dubti,66,ET,1570075593,62,11.74,41.09,82.8,4.47
10,Mataura,86,NZ,1570075595,92,-46.19,168.86,46.99,5.01
11,San Quintin,46,PH,1570075596,66,17.54,120.52,85.74,4.27
12,East London,0,ZA,1570075597,77,-33.02,27.91,59.0,3.36
13,Ocos,75,GT,1570075601,100,14.51,-92.19,75.2,3.36
14,Virginia Beach,40,US,1570075601,78,36.85,-75.98,82.0,8.05
15,Cidreira,100,BR,1570075602,89,-30.17,-50.22,63.87,10.22
16,Rivadavia,53,AR,1570075602,30,-31.53,-68.59,40.05,1.9
17,Alice Springs,0,AU,1570075603,7,-23.7,133.88,93.2,19.46
18,Cape Town,40,ZA,1570075603,93,-33.93,18.42,59.0,3.36
19,Kabo,100,CF,1570075604,96,7.69,18.62,69.97,1.72
20,Castro,0,CL,1570075605,94,-42.48,-73.76,35.6,6.93
21,Ancud,0,CL,1570075549,75,-41.87,-73.83,35.6,6.93
22,Southbridge,90,US,1570075609,81,42.08,-72.03,57.2,11.41
23,Victoria,75,BN,1570075515,66,5.28,115.24,87.8,2.24
24,Tasiilaq,100,GL,1570075611,60,65.61,-37.64,41.0,38.03
25,Port Blair,48,IN,1570075611,66,11.67,92.75,82.17,1.61
26,Nikolskoye,90,RU,1570075616,93,59.7,30.79,41.0,6.71
27,Bluff,0,AU,1570075616,29,-23.58,149.07,80.75,13.24
28,Arraial do Cabo,0,BR,1570075617,84,-22.97,-42.02,69.41,26.8
29,Faanui,9,PF,1570075618,78,-16.48,-151.75,77.78,14.76
30,Yenagoa,100,NG,1570075619,97,4.92,6.26,72.71,2.46
31,Tiksi,100,RU,1570075620,87,71.64,128.87,24.57,27.38
32,Provideniya,75,RU,1570075621,75,64.42,-173.23,37.4,15.66
33,Ilulissat,0,GL,1570075621,31,69.22,-51.1,48.2,27.51
34,Chokurdakh,97,RU,1570075623,88,70.62,147.9,27.04,12.86
35,Colac,2,AU,1570075626,90,-38.34,143.59,71.01,7.0
36,Hobart,0,AU,1570075482,29,-42.88,147.33,84.0,9.17
37,Iqaluit,90,CA,1570075629,92,63.75,-68.52,32.0,8.05
38,Bermejo,39,AR,1570075630,62,-22.73,-64.34,56.72,2.91
39,Katherine,0,AU,1570075630,9,-14.47,132.26,98.6,16.11
40,Bredasdorp,36,ZA,1570075631,87,-34.53,20.04,51.8,5.82
41,Beyneu,32,KZ,1570075631,50,45.32,55.19,56.72,11.01
42,Baykit,100,RU,1570075632,99,61.68,96.39,35.97,5.73
43,Upernavik,100,GL,1570075633,68,72.79,-56.15,37.19,10.69
44,Punta Arenas,0,CL,1570075635,77,-53.16,-70.91,41.0,28.86
45,Jamestown,12,AU,1570075638,19,-33.21,138.6,83.45,1.45
46,Bethel,90,US,1570075639,81,60.79,-161.76,50.0,8.05
47,Gore,11,ET,1570075640,98,8.15,35.53,53.7,2.59
48,Loding,75,DE,1570075641,75,48.05,12.68,46.4,6.93
49,Baranain,75,ES,1570075644,87,42.81,-1.68,60.01,4.7
50,Batagay,100,RU,1570075645,42,67.65,134.64,29.9,9.64
51,Oriximina,100,BR,1570075645,67,-1.77,-55.87,82.53,5.7
52,Tuatapere,67,NZ,1570075646,92,-46.13,167.69,46.99,5.01
53,Xinmin,75,CN,1570075648,77,42.0,122.83,62.6,11.18
54,Thompson,5,CA,1570075649,79,55.74,-97.86,28.4,4.52
55,Boffa,100,GN,1570075650,87,10.18,-14.04,78.39,8.79
56,Maiduguri,100,NG,1570075651,67,11.84,13.15,75.71,11.12
57,Duma,100,CN,1570075654,74,34.88,111.1,65.69,7.7
58,Quelimane,75,MZ,1570075655,94,-17.88,36.89,71.6,4.7
59,Perth,0,AU,1570075538,38,-31.95,115.86,77.0,9.17
60,Yingkou,0,CN,1570075657,55,40.67,122.24,67.68,17.49
61,Kijang,40,KR,1570075660,61,35.24,129.21,78.8,13.87
62,Albany,90,US,1570075502,57,42.65,-73.75,52.0,10.29
63,The Valley,20,AI,1570075661,78,18.22,-63.06,82.99,3.36
